"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*gaRaŋ","acd-s_g.htm#3069","small edible freshwater crab"
"*gaRuk","acd-s_g.htm#11484","scratch up, scrape up"
"*gasgas","acd-s_g.htm#2477","rub, abrade"
"*gatel","acd-s_g.htm#7151","itch, feel itchy; sexually stimulated"
"*gatgat","acd-s_g.htm#12638","to bite something off, to chew something up; to mince"
"*ga(n)tuk","acd-s_g.htm#2482","knock against, of body parts"
"*gaway₁","acd-s_g.htm#6472","tentacles of octopus, squid, jellyfish, etc."
"*gayam","acd-s_g.htm#8451","a tree:  spp., possibly the Tahitian chestnut:"
"*gayaŋ","acd-s_g.htm#7611","hunting spear"
"*gedek","acd-s_g.htm#2483","sound of sob"
"*gekgek","acd-s_g.htm#2484","animal sound"
"*gelap₁","acd-s_g.htm#2486","lightning that strikes something"
"*gem","acd-s_g.htm#2494","hold in the fist"
"*gemel","acd-s_g.htm#2489","take in the hand, clasp, grasp"
"*gemgem","acd-s_g.htm#7612","fist; hold in the fist"
"*gemi","acd-s_g.htm#2492","suckerfish, remora: ; hold on by biting’"
"*geŋ","acd-s_g.htm#2512","dull resounding sound"
"*gepik","acd-s_g.htm#2496","sound of light smacking"
"*gepit","acd-s_g.htm#2497","pinch, squeeze between"
"*ger","acd-s_g.htm#2505","sound of a grunt, etc."
"*gereC","acd-s_g.htm#2500","slit an animal's throat"
"*geret","acd-s_g.htm#2499","notch, groove"
"*gerger₁","acd-s_g.htm#2501","shake, shiver, tremble"
"*gerit","acd-s_g.htm#12029","sound of scraping or scratching"
"*ge(s)ges","acd-s_g.htm#2511","shiver"
"*getel","acd-s_g.htm#9003","to pinch"
"*getes","acd-s_g.htm#10070","to snap, break off, as a twig"
"*getik","acd-s_g.htm#10072","spotted, striped"
"*getil","acd-s_g.htm#9004","to pinch"
"*gidik","acd-s_g.htm#2513","to tickle"
"*gigil","acd-s_g.htm#8263","shiver, tremble"
"*giŋgiŋ","acd-s_g.htm#8237","cold, shivering"
"*gikgik","acd-s_g.htm#2514","titter, giggle"
"*gila","acd-s_g.htm#6506","wild; skittish; insane"
"*gila-gila","acd-s_g.htm#6507","wild; insane"
"*gilak","acd-s_g.htm#2515","shine, glitter"
"*gilap","acd-s_g.htm#8224","radiance"
"*giliŋ","acd-s_g.htm#8228","to grind, as by rolling over"
"*gi(n)tik","acd-s_g.htm#2522","tap or beat lightly on"
"*gipit","acd-s_g.htm#8239","narrow, tight, confined"
"*giri","acd-s_g.htm#2518","to tickle"
"*giRiŋ","acd-s_g.htm#2519","ringing sound"
"*gisgis₁","acd-s_g.htm#2520","rub, scrape against"
"*gintil","acd-s_g.htm#8240","pimple"
"*guŋguŋ","acd-s_g.htm#2537","deep resounding sound"
"*guham","acd-s_g.htm#7490","a fungal disease of the oral tract: thrush"
"*g<um>arut","acd-s_g.htm#8584","to rub against, scrape, scratch"
"*gumi","acd-s_g.htm#7999","moustache, beard"
"*gu(n)dem","acd-s_g.htm#2539","overcast, darkened"
"*gur","acd-s_g.htm#2530","purring sound"
"*gurgur₁","acd-s_g.htm#2526","sound of boiling water"
"*guris","acd-s_g.htm#8265","line; scratch a line"
"*gurit","acd-s_g.htm#11072","to scratch; sound of scratching"
"*guru","acd-s_g.htm#2529","noise, tumult"
"*guruq","acd-s_g.htm#9358","noise, tumult"
"*guRun","acd-s_g.htm#10161","sword grass,"
"*gusgus","acd-s_g.htm#2531","to scrape, scratch, rub"
"*gusi","acd-s_g.htm#2532","gums"
"*gutgut","acd-s_g.htm#12718","to scratch, as an itch"
"*gutgut₁","acd-s_g.htm#7300","front teeth, incisors; gnaw, to bite or tear off with the incisors"
"*gutgut₂","acd-s_g.htm#12035","pluck, pull out"
"*ha-","acd-s_s2.htm#12677","marker of instrumental nouns"
"*ha-₁","acd-s_h.htm#2611","adjectival prefix for adjectives of measure"
"*ha₁","acd-s_h.htm#2613","marker of a tag question"
"*ha₂","acd-s_s2.htm#5106","ligature"
"*ha-₂","acd-s_s2.htm#11384","stative prefix"
"*ha₃","acd-s_s2.htm#5108","locative particle"
"*haban","acd-s_s2.htm#4952","cloth used to carry a child on the back"
"*habaRat","acd-s_s2.htm#4954","southwest monsoon"
"*habij","acd-s_s2.htm#10953","twins of the same sex"
"*habit","acd-s_s2.htm#4961","long cloth wrapped around body and used for carrying"
"*habuk","acd-s_h.htm#2541","powdery substance, dust"
"*handem","acd-s_h.htm#411","think, understand"
"*hadiRi","acd-s_s2.htm#11882","housepost"
"*hadu","acd-s_s2.htm#4969","much, many, plenty"
"*hajek","acd-s_s2.htm#4977","smell, sniff, kiss"
"*hakut","acd-s_s2.htm#4989","transport piecemeal; transport through repeated trips"
"*halas","acd-s_s2.htm#4994","forest, wilderness, woods, jungle"
"*halas + \"dark\"","acd-s_s2.htm#4997","primary forest, primeval jungle"
"*halem","acd-s_h.htm#2557","night, dark"
"*halin","acd-s_h.htm#2558","move, transfer"
"*hameti","acd-s_s2.htm#11885","a plant:"
"*hamuk","acd-s_h.htm#2571","attack, run amuck"
"*hanunaŋ","acd-s_h.htm#2574","a tree:"
"*haŋin","acd-s_h.htm#2616","wind"
"*haŋin-haŋin","acd-s_h.htm#2626","gust, draft, current of air; rumor"
"*haŋit","acd-s_h.htm#2628","anger"
"*haŋus₂","acd-s_h.htm#2632","odor of burnt food"
"*haŋut","acd-s_s2.htm#2633","smell, odor"
"*hampaR","acd-s_s2.htm#5017","unroll a mat, spread out a mat"
"*hapejes","acd-s_h.htm#2575","smarting, stinging pain"
"*hapejiq","acd-s_s2.htm#5022","smarting, stinging pain"
"*hapejis","acd-s_h.htm#2576","smarting, stinging pain"
"*hapen","acd-s_h.htm#2577","fishing line"
"*haphap","acd-s_s2.htm#5032","feel, grope"
"*hampil","acd-s_h.htm#2568","go together"
"*hapin","acd-s_h.htm#2580","liner, layer, insulation, padding; sleeping mat"
"*hapiq","acd-s_s2.htm#7408","flattened, as plants to the ground"
"*hapit","acd-s_s2.htm#5025","press together, press between two surfaces; part of the loom"
"*hapuhap","acd-s_s2.htm#5035","feel, grope"
"*hapun₁","acd-s_h.htm#2585","dew"
"*hapuy","acd-s_s2.htm#5037","fire"
"*haRemaŋ","acd-s_h.htm#295","kind of marine eel"
"*haRezan","acd-s_h.htm#2587","notched log ladder"
"*haRezan na batu","acd-s_h.htm#2589","stone stairs"
"*haRuŋ","acd-s_s2.htm#5062","snore, groan, etc."
"*hasak","acd-s_s2.htm#5065","ripe; cooked"
"*hasaŋ","acd-s_h.htm#2590","gills"
"*hasaq","acd-s_s2.htm#5068","whet, sharpen"
"*hasaq-an","acd-s_s2.htm#5074","whetstone, grindstone"
"*hasek₁","acd-s_h.htm#2595","dibble, plant seeds with a dibble stick"
"*hasek₂","acd-s_h.htm#2598","press in, cram, crowd"
"*hateD","acd-s_s2.htm#5078","accompany, escort, conduct, convey; send; return; escort the bride to her husband; gift of food at a wedding; send bridewealth payments"
"*hateD-an","acd-s_s2.htm#5087","escort, accompany (imperative)"
"*hawak","acd-s_s2.htm#5092","waist, back of the waist"
"*hawhaw","acd-s_s2.htm#5099","wash, rinse"
"*heban","acd-s_s2.htm#5125","carry a child with a carrying cloth"
"*hebun","acd-s_h.htm#2636","group, pile"
"*hebut","acd-s_s2.htm#5129","pluck, pull up (as weeds)"
"*hedaw","acd-s_h.htm#2640","stop, cease, of rain"
"*hekak","acd-s_s2.htm#5138","to crow, to caw"
"*hekut","acd-s_s2.htm#11704","hunched over, stoop-shouldered"
"*helem","acd-s_s2.htm#12679","dark, dim"
"*hema","acd-s_s2.htm#5156","tongue"
"*hemay","acd-s_s2.htm#5153","cooked rice"
"*hemis","acd-s_h.htm#2646","sweet taste"
"*hemut","acd-s_s2.htm#5158","smother, suffocate"
"*heñaw","acd-s_s2.htm#5228","to wash"
"*heŋak","acd-s_h.htm#2666","out of breath"
"*heŋaw","acd-s_s2.htm#7175","exude or escape, of air, gases or similar substances (?)"
"*hepi","acd-s_s2.htm#5193","dream"
"*heqe","acd-s_h.htm#2655","yes; expression of agreement"
"*heqeguk","acd-s_h.htm#2654","deep guttural sound"
"*heReŋ","acd-s_h.htm#2660","groan, moan, roar, growl"
"*heRet","acd-s_s2.htm#8209","to bind tightly; belt"
"*hesi","acd-s_s2.htm#5200","flesh, meat"
"*hetek","acd-s_s2.htm#5202","cut, sever, chop"
"*heyaq","acd-s_s2.htm#11890","shyness, embarrassment; shame"
"*heyup","acd-s_s2.htm#5210","blowing on (a fire, etc.)"
"*heyup-an","acd-s_s2.htm#5214","place of blowing"
"*hezam","acd-s_s2.htm#5220","borrow, lend"
"*hi-","acd-s_s2.htm#5336","originate from, come from"
"*hibun","acd-s_h.htm#2669","cover with earth"
"*hi-kaen","acd-s_k.htm#8022","(??)"
"*hikam","acd-s_s2.htm#5251","mat"
"*hikan","acd-s_s2.htm#5253","fish"
"*hiket","acd-s_s2.htm#5257","tie, bind, attach to by tying"
"*hilat","acd-s_h.htm#2680","wide open, of the eyes"
"*hili","acd-s_h.htm#2760","village, town"
"*himaR","acd-s_s2.htm#5278","grease, oil, fat"
"*hin-","acd-s_s2.htm#5292","verb prefix"
"*h<in>eban","acd-s_s2.htm#5127","what is carried on the back"
"*h<in>ipi","acd-s_s2.htm#5304","a dream; was dreamt by"
"*hinuq","acd-s_s2.htm#5290","beads, necklace"
"*hiñaw","acd-s_s2.htm#5338","wash hands, feet or face"
"*hiñaw-an","acd-s_s2.htm#5340","place where one washes"
"*hiŋus","acd-s_s2.htm#5352","sniff, sniffle (as with a runny nose)"
"*hipaR₁","acd-s_h.htm#2695","sibling-in-law (probably of the same sex only)"
"*hipaR₂","acd-s_s2.htm#5295","opposite side (esp. of a river)"
"*hipaʔ","acd-s_h.htm#2697","lie in wait for, ambush"
"*hipi","acd-s_s2.htm#5301","dream"
"*hipun₁","acd-s_h.htm#2698","tiny sea fish that ascends rivers in huge numbers to spawn"
"*hiras","acd-s_h.htm#2702","cut off"
"*hiRup","acd-s_s2.htm#5319","sip, as soup or rice wine from a bowl"
"*hisep","acd-s_h.htm#2705","suck, inhale"
"*hisuq","acd-s_h.htm#2707","clean oneself by scrubbing"
"*hitu","acd-s_h.htm#2711","catfish"
"*hituq","acd-s_h.htm#2710","catfish"
"*hiwid","acd-s_s2.htm#5332","slanting, awry"
"*huab₂","acd-s_s2.htm#5360","yawn"
"*huaji","acd-s_s2.htm#5369","younger sibling of the same sex; younger parallel cousin of the same sex"
"*huaji-q","acd-s_s2.htm#6971","younger sibling of the same sex (vocative); younger parallel cousin of the same sex (vocative)"
"*huaR","acd-s_h.htm#2719","a vine:"
"*hubun₁","acd-s_h.htm#2721","fontanel"
"*hubun₂","acd-s_h.htm#2722","heap, pile, collection"
"*huhuq","acd-s_s2.htm#5449","drip or drain out"
"*hukaq","acd-s_h.htm#2730","loosen, open"
"*hulaR","acd-s_s2.htm#5387","snake"
"*hulem","acd-s_s2.htm#5391","dimness, twilight"
"*hulhul₁","acd-s_h.htm#7237","to bark, of a dog"
"*hulij","acd-s_s2.htm#5396","lie or sleep next to"
"*huluR","acd-s_s2.htm#5399","lower or let down, as on a rope; pay out fishline; launch a boat"
"*h<um>apuy","acd-s_s2.htm#5049","(gloss uncertain)"
"*h<um>ateD","acd-s_s2.htm#5085","accompany, escort"
"*h<um>eRet","acd-s_s2.htm#8214","tighten, fasten firmly"
"*h<um>eyup","acd-s_s2.htm#5218","to blow"
"*h<um>ipi","acd-s_s2.htm#5306","to dream"
"*h<um>una","acd-s_h.htm#5410","to do or go first"
"*h<um>uni","acd-s_s2.htm#11892","to chirp, to crow, to sound off (birds)"
"*huna","acd-s_h.htm#5409","first, before, anterior in time"
"*huni","acd-s_s2.htm#5416","chirp, tweet, crow, produce sound (of birds)"
"*hunus","acd-s_s2.htm#5421","withdraw, pull out, extract"
"*huñus","acd-s_h.htm#2757","to molt, shed the skin"
"*hupiq","acd-s_s2.htm#5412","flower spathe of areca palm"
"*huqhuq","acd-s_s2.htm#5430","drip or drain out"
"*huRas","acd-s_s2.htm#5435","wash body parts, cooking or eating utensils (but not clothes)"
"*huRay","acd-s_s2.htm#12287","to wait, be patient"
"*huRhuR","acd-s_s2.htm#5444","drawstring; to thread a drawstring"
"*huRuŋ","acd-s_h.htm#2743","roar of a current, crashing waves, etc.; moan, groan (as in pain or when near death)"
"*hutek","acd-s_h.htm#2745","brain; marrow"
"*huy","acd-s_h.htm#2750","exclamation to express surprise, call to a friend, respond to a distant call, etc."
"*huyeʔab","acd-s_s2.htm#5453","to yawn"
"*huyuŋ","acd-s_h.htm#2749","shake, sway, as the ground in an earthquake"
"*huʔu","acd-s_s2.htm#5464","2sg. subject pronoun"
"*i-","acd-s_s2.htm#5334","verbal prefix marking instrumental or benefactive voice’"
"*i babaw","acd-s_b.htm#430","above, on top of"
"*i dalem","acd-s_d.htm#7090","below, beneath; inside"
"*-i₁","acd-s_i1.htm#3033","imperative suffix"
"*i₁","acd-s_i1.htm#3029","exclamation of wonder, disgust, etc."
"*i₂","acd-s_i1.htm#3030","generic marker of location in space or time"
"*-i₂","acd-s_i1.htm#3034","local transitive suffix"
"*i₃","acd-s_i1.htm#3031","personal article"
"*ia₁","acd-s_i1.htm#2785","3sg. personal pronoun: he, she; him, her, it"
"*ia₂","acd-s_i1.htm#2787","demonstrative pronoun and adverb: this, here; that, there"
"*iag","acd-s_i1.htm#2772","cry out, shout"
"*iak","acd-s_i1.htm#2773","cry out, shout"
"*i-aku","acd-s_a1.htm#11661","1sg., I, me"
"*i-amen","acd-s_a1.htm#12091","1pl.ex oblique"
"*i-ami","acd-s_a1.htm#9703","1pl. excl. nominative, we"
"*ian₂","acd-s_i1.htm#2775","dwell, reside, live in a place"
"*ia-ni","acd-s_n1.htm#3680","this; here"
"*iaqi","acd-s_i1.htm#2781","demonstrative marker of uncertain meaning"
"*ias₁","acd-s_i1.htm#2782","particle of doubt or interrogation"
"*i-atas","acd-s_a1.htm#29","above, on top"
"*iba iba₁","acd-s_i1.htm#2789","remainder, surplus"
"*ibah","acd-s_i1.htm#2793","companion, close relative, other one"
"*ibah-an","acd-s_i1.htm#2794","companion, close relative, other one"
"*ibak","acd-s_i1.htm#2791","break or split off"
"*imbaŋ","acd-s_i1.htm#2869","weigh, balance, compare"
"*ibeR","acd-s_i1.htm#2798","saliva in the mouth; drool; desire, crave, lust for"
"*ibit","acd-s_i1.htm#2805","touch, grasp"
"*imbu","acd-s_i1.htm#2873","stench, strong unpleasant odor"
"*ibuk","acd-s_i1.htm#2806","dull, muffled sound"
"*imbuk","acd-s_i1.htm#2870","nature spirit"
"*ibut₁","acd-s_i1.htm#2809","pull out, uproot"
"*icud","acd-s_i1.htm#2813","budge, shift, move aside"
"*i-Cu","acd-s_c2.htm#2172","that (2p)"
"*ida","acd-s_i1.htm#2816","they, them (cf *)"
"*inda₁","acd-s_i1.htm#2903","exclamation of wonder, pain, etc."
"*idas₁","acd-s_i1.htm#2814","affine of Ego's generation"
"*i-di","acd-s_d.htm#2261","that, there"
"*idi","acd-s_i1.htm#2819","then, at that time"
"*idus","acd-s_i1.htm#2820","nasal mucus, snot"
"*ieq","acd-s_i1.htm#2821","this"
"*ihap","acd-s_i1.htm#2823","count, calculate"
"*ihi","acd-s_i1.htm#2825","exclamation of surprise, etc."
"*ihiq","acd-s_i1.htm#8946","urine; urinate"
"*ijan","acd-s_i1.htm#2827","when?"
"*ijuŋ","acd-s_i1.htm#2832","nose"
"*ika-","acd-s_s2.htm#11621","prefix for ordinal numerals"
"*ika-duha","acd-s_d.htm#7900","second"
"*ika-enem","acd-s_e1.htm#2363","sixth (ordinal)"
"*i-kahu","acd-s_k.htm#9767","2sg., you"
"*ika-lima","acd-s_l.htm#7398","fifth (ordinal numeral)"
"*ika-pitu","acd-s_p.htm#8323","seventh"
"*ika-puluq","acd-s_p.htm#6908","tenth"
"*ika-siwa","acd-s_s2.htm#9169","ninth"
"*ika-telu","acd-s_t.htm#8435","third"
"*ika-walu","acd-s_w.htm#5946","eighth (ordinal)"
"*ikay","acd-s_i1.htm#12512","mallet for beating bark into bark cloth"
"*i(ŋ)kes","acd-s_i1.htm#3063","bound firmly"
"*ikuD","acd-s_i1.htm#2839","to follow"
"*iŋkud","acd-s_i1.htm#10691","to sit"
"*ikuŋ","acd-s_i1.htm#2847","tail"
"*ikuR","acd-s_i1.htm#2840","tail"
"*ikuR ikuR","acd-s_i1.htm#2842","trailing behind"
"*ikuR ikuR ni asu","acd-s_i1.htm#2843","a plant with flowers the shape of a dog's tail, used to treat abscesses"
"*ikuR ni mata","acd-s_i1.htm#2841","outer corner of the eye"
"*ikut₁","acd-s_i1.htm#2846","to follow, join with"
"*ilah","acd-s_i1.htm#2849","wild, timorous, shy"
"*i-lahud","acd-s_l.htm#7042","(gloss uncertain)"
"*ilap₁","acd-s_i1.htm#2852","flicker, of flames"
"*ilap₂","acd-s_i1.htm#2853","silhouette, shadow; glimpse of something"
"*ilaw","acd-s_i1.htm#2854","look at (a reflection, etc.)"
"*ileŋ","acd-s_i1.htm#2857","turn, rotate"
"*iliŋ₁","acd-s_i1.htm#2860","pour"
"*iluR₁","acd-s_i1.htm#2864","spittle, saliva"
"*iluR₂","acd-s_i1.htm#2865","river channel"
"*ima₁","acd-s_i1.htm#2867","five"
"*imu","acd-s_s2.htm#5284","2p pronoun: you"
"*<in>","acd-s_i1.htm#2934","perfective marker"
"*ina","acd-s_i1.htm#2888","mother, mother's sister; female animal"
"*i-na","acd-s_n1.htm#3656","that, there"
"*ina ama","acd-s_i1.htm#2890","parents"
"*ina ni lima","acd-s_i1.htm#2892","thumb"
"*iná-i","acd-s_i1.htm#2894","mother, mother's sister (address, vocative)"
"*in-alap","acd-s_a1.htm#104","that which has been taken; was taken by"
"*iná-ŋ","acd-s_i1.htm#2895","mother, mother's sister (address, vocative)"
"*iná-q","acd-s_i1.htm#2896","mother, mother's sister (address, vocative)"
"*in-atay","acd-s_a1.htm#63","dead"
"*i-ni","acd-s_n1.htm#3679","this, here"
"*inu","acd-s_i1.htm#2930","where?"
"*i-nu","acd-s_n1.htm#3700","place which is unknown or cannot be remembered: where?"
"*inum","acd-s_i1.htm#2912","act of drinking"
"*inum-inum-an","acd-s_i1.htm#2929","various drinks"
"*iŋaR","acd-s_i1.htm#3035","loud, unpleasant noise"
"*iŋat","acd-s_i1.htm#3040","to note, remember; care, attention, caution"
"*iŋ(e)pis","acd-s_i1.htm#5341","thin (of material objects)"
"*iŋsuŋ","acd-s_i1.htm#3060","wooden rice mortar"
"*iŋus","acd-s_i1.htm#3061","moan or groan"
"*i-pa-ŋajan","acd-s_n4.htm#7497","to name, give a name to"
"*ipen","acd-s_i1.htm#2939","tooth"
"*i(m)pes","acd-s_i1.htm#3057","empty, deflated, shrunken"
"*ipes","acd-s_s2.htm#5298","cockroach"
"*ipit","acd-s_i1.htm#2941","near, come near; edge, border"
"*impu₁","acd-s_i1.htm#2879","collect, heap up"
"*impu₂","acd-s_i1.htm#2880","grandparent"
"*iput₁","acd-s_i1.htm#2945","narrow"
"*iqi","acd-s_i1.htm#2947","exclamation of surprise, pain, etc."
"*irid₁","acd-s_i1.htm#2953","fan; to fan"
"*iriŋ₁","acd-s_i1.htm#2958","follow; accompany"
"*iRik","acd-s_i1.htm#2956","thresh with the feet (as rice)"
"*isa isa","acd-s_i1.htm#2969","distributive; one-by-one, one at a time"
"*isa₁","acd-s_i1.htm#2965","one"
"*i-sai","acd-s_s1.htm#8848","who?"
"*isa-ŋa","acd-s_i1.htm#2968","the remaining one"
"*ised","acd-s_i1.htm#2974","budge, shift, move aside"
"*i-sei","acd-s_.htm#9410","who?"
"*iseR","acd-s_i1.htm#2979","budge, shift, move aside"
"*isi₅","acd-s_i1.htm#2985","flesh (of humans, animals, fruits, tubers); contents; blade of a knife; inhabitants, residents"
"*isu₁","acd-s_i1.htm#3001","budge, shift, move aside"
"*isu₂","acd-s_i1.htm#3002","interjection used to chase off animal"
"*isud","acd-s_i1.htm#2992","budge, shift, move"
"*isuR","acd-s_i1.htm#2994","budge, shift, move aside"
"*isut₂","acd-s_i1.htm#2998","rub, scour, scrub"
"*iSeq","acd-s_i1.htm#2978","urine, urinate"
"*ita₁","acd-s_i1.htm#3004","we (incl.)"
"*itek","acd-s_i1.htm#3006","be small, become small"
"*i-telu","acd-s_t.htm#8418","(gloss uncertain)"
"*iten₃","acd-s_i1.htm#7699","we (incl.)"
"*i-ti","acd-s_t.htm#5635","1p deixis and spatial reference: this; here"
"*ituk","acd-s_i1.htm#3014","small in amount"
"*iu₃","acd-s_i1.htm#3000","2sg. personal pronoun: you"
"*iut₁","acd-s_i1.htm#3018","little, small, trifling"
"*iwa","acd-s_i1.htm#3024","put in the lap"
"*iwaq","acd-s_i1.htm#3022","put in the lap"
"*inzak","acd-s_i1.htm#2931","step on, tread on, trample"
"*ka- -an₁","acd-s_k.htm#9736","marker of the adversative passive"
"*ka- -an₂","acd-s_k.htm#9737","formative for nouns of location"
"*ka- -an₃","acd-s_k.htm#9738","formative for abstract nouns (often deverbal)"
"*ka-₁","acd-s_k.htm#3145","marker of past time in temporal expressions"
"*ka₁","acd-s_k.htm#3146","conjunctive particle, and"
"*ka₂","acd-s_k.htm#3147","conditional, if"
"*ka-₂","acd-s_k.htm#9727","stative marker in irrealis constructions, counterpart to   in realis constructions"
"*ka₃","acd-s_k.htm#8800","oblique case marker for plural personal names"
"*ka₄","acd-s_k.htm#9941","2sg. subject pronoun"
"*ka-₅","acd-s_k.htm#9730","formative for abstract nouns of quality"
"*ka-₇","acd-s_k.htm#9732","past participle/achieved state"
"*ka-aCay","acd-s_a1.htm#35","kill (?)"
"*ka-aCay-an","acd-s_a1.htm#36","lose someone through death (?)"
"*ka-anak","acd-s_a1.htm#191","have a child"
"*kabal₁","acd-s_k.htm#9746","clothing"
"*ka-besuR","acd-s_b.htm#1014","satisfaction, satiation"
"*kabit₁","acd-s_k.htm#7239","hook"
"*kambu","acd-s_k.htm#10238","lower stomach, bladder"
"*kabu-kabu","acd-s_k.htm#3066","the kapok tree:"
"*kabuq","acd-s_k.htm#9959","ladle, dipper, scoop, cup"
"*kambur","acd-s_k.htm#3094","mix"
"*kambuR","acd-s_k.htm#3093","sprinkle, scatter (seed, etc.)"
"*kabus₁","acd-s_k.htm#9733","run out, come to an end, of supplies; be poor"
"*kabut","acd-s_k.htm#9734","fog, haze, mist; indistinct, blurry"
"*ka-CaSaw-an","acd-s_c2.htm#2013","(gloss uncertain)"
"*ka-dataR-an","acd-s_d.htm#7566","plain, region of level land"
"*kaen","acd-s_k.htm#8008","eat"
"*kaen kaen","acd-s_k.htm#8039","(gloss uncertain)"
"*kaen-a","acd-s_k.htm#8028","eat it (imper.)"
"*kaen-an","acd-s_k.htm#8030","place where one eats; food"
"*kaen-en","acd-s_k.htm#8033","be eaten by someone; cooked rice"
"*kaen-i","acd-s_k.htm#8036","eat it!"
"*ka-epat","acd-s_s2.htm#5166","fourth"
"*kahi-kahiw","acd-s_k.htm#7809","wooded, having lots of trees"
"*kahiw","acd-s_k.htm#7795","wood; tree"
"*kahkah","acd-s_k.htm#7161","scratch up the soil"
"*kahu","acd-s_k.htm#9765","2sg., you"
"*kaija","acd-s_k.htm#9787","when? (in the past)"
"*ka-isi","acd-s_i1.htm#2987","well-filled"
"*kak","acd-s_k.htm#3073","sound of a cackle, loud laugh, etc."
"*kaka₂","acd-s_k.htm#9743","elder sibling of the same sex"
"*ka-kaen-an","acd-s_k.htm#8023","place where one eats"
"*ka-kaen-en","acd-s_k.htm#8024","edible things, food"
"*kakakₐ","acd-s_k.htm#3072","to cackle"
"*ka-kali","acd-s_k.htm#7706","digging stick"
"*kaŋkaŋ₂","acd-s_k.htm#9079","resounding sound"
"*kaŋkaŋ₃","acd-s_k.htm#9080","cramps, stiffening of the limbs, rigor mortis"
"*kakaq","acd-s_k.htm#3152","split"
"*k-aku","acd-s_a1.htm#92","1sg oblique: to me, for me"
"*kalaw₁","acd-s_k.htm#8592","a bird: the hornbill"
"*ka-lawaq","acd-s_l.htm#8189","spider"
"*kalem","acd-s_k.htm#3081","dark"
"*kali-","acd-s_k.htm#10073","prefix for words with a sensitive reference to the spirit world (cf. )"
"*kali₁","acd-s_k.htm#3084","canal, ditch"
"*kali₂","acd-s_k.htm#7703","a hole in the ground; to dig up, excavate, as tubers"
"*kalu","acd-s_k.htm#9892","to stir"
"*kaluŋkuŋ","acd-f_k.htm#10101","deep resounding sound"
"*kalumpaŋ","acd-s_k.htm#3086","a tree:"
"*kamaliR","acd-s_k.htm#7725","bachelor’s house, men’s house"
"*kam-ami","acd-s_a1.htm#9704","1pl. excl., we"
"*ka-mata","acd-s_m.htm#8603","(gloss uncertain)"
"*kama-udehi","acd-s_u1.htm#5728","rear part, stern or rudder of a boat"
"*kamay","acd-s_k.htm#3090","hand"
"*kamaya","acd-s_k.htm#3089","plant sp.:"
"*kamet","acd-s_k.htm#9809","do with the hand"
"*k-ami","acd-s_a1.htm#9705","1pl. excl. nominative pronoun, we (exclusive)"
"*kamiri","acd-s_k.htm#9775","the candlenut tree:"
"*kamit","acd-s_k.htm#3095","scratch"
"*kamu₂","acd-s_a1.htm#9710","2pl. nominative, you all"
"*kamuniŋ","acd-s_k.htm#3097","a tree:  sp."
"*kamu-yu","acd-s_a1.htm#9713","2pl. nominative and genitive; you all, your"
"*kanaŋa","acd-s_k.htm#3104","a tree with fragrant flowers:"
"*kanap₁","acd-s_k.htm#3099","creep, crawl"
"*kanari","acd-s_k.htm#9942","tree with edible nut, the Canarium almond:"
"*kanarum","acd-s_k.htm#3100","tree sp."
"*kanasay","acd-s_k.htm#12526","a fish, the mullet"
"*kanawa","acd-s_k.htm#3103","a tree:  spp."
"*kanawah","acd-s_k.htm#12684","a small tree bearing round, green fruit:  spp."
"*kanaway","acd-s_k.htm#3102","kind of white bird: probably gull sp."
"*ka-nu₂","acd-s_n1.htm#3702","when?"
"*k<an>uhkuh","acd-s_k.htm#7275","claw, talon, fingernail"
"*kaŋ","acd-s_k.htm#3153","animal sound"
"*kaŋa","acd-s_k.htm#3148","be open, as the mouth"
"*kaŋeqa","acd-s_k.htm#3149","fissured, slightly cracked"
"*ka-pajay-an","acd-s_p.htm#7676","(gloss uncertain)"
"*kapak","acd-s_k.htm#10001","beat the wings, flap the wings; sound of flapping"
"*kapay","acd-s_k.htm#9944","flutter the wings"
"*ka(m)pet","acd-s_k.htm#3151","plugged, stopped, blocked"
"*ka-piliq-an","acd-s_p.htm#8123","(gloss uncertain)"
"*kampis","acd-s_k.htm#3096","deflate, shrink"
"*kapit","acd-s_k.htm#3110","pinch, press between; fasten thatch together with slats in roofing a house"
"*kampit","acd-s_k.htm#9178","to adhere, stick to"
"*ka-pitu","acd-s_p.htm#8312","seven times"
"*ka-pitu-an","acd-s_p.htm#8325","seventh month (?)"
"*kapkap","acd-s_k.htm#3111","feel in the dark, grope"
"*kapuR","acd-s_k.htm#10045","lime, calcium carbonate"
"*kaput₁","acd-s_k.htm#3113","tie or clasp together; to button"
"*ka-qasiq","acd-s_q.htm#4320","mercy, pity, affection"
"*ka-qasiq-an","acd-s_q.htm#4321","expression of pity or affection"
"*kaq(e)pi","acd-s_k.htm#3114","brace, splint"
"*kaqit","acd-s_k.htm#10003","to hold or pull with a hook"
"*ka-qudip-an","acd-s_q.htm#4639","livelihood"
"*karaŋ","acd-s_k.htm#10078","coral, limestone"
"*karis₁","acd-s_k.htm#3118","scratch, scrape"
"*karkar","acd-s_k.htm#3120","scratch up the earth, as a fowl"
"*karus","acd-s_k.htm#9829","to scratch, scrape"
"*k<ar>uSkuS","acd-s_k.htm#3302","scrape, scratch something from a surface"
"*karut₁","acd-s_k.htm#3124","scrape, rasp"
