"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*ikuR","acd-s_i1.htm#2840","tail"
"*iluR₂","acd-s_i1.htm#2865","river channel"
"*ima","acd-s_i1.htm#6624","who?"
"*imah","acd-s_i1.htm#12644","drink"
"*<in>","acd-s_i1.htm#2934","perfective marker"
"*ina","acd-s_i1.htm#2887","mother, mother's sister"
"*in-alap","acd-s_a1.htm#104","that which has been taken; was taken by"
"*iná-q","acd-s_i1.htm#2896","mother, mother's sister (address, vocative)"
"*i-ni","acd-s_n1.htm#3679","this, here"
"*ini","acd-f_i1.htm#6638","negative marker: no, not"
"*inu","acd-s_i1.htm#2930","where?"
"*i-nu","acd-s_n1.htm#3700","place which is unknown or cannot be remembered: where?"
"*iŋ(e)pis","acd-s_i1.htm#5341","thin (of material objects)"
"*iŋsuŋ","acd-s_i1.htm#3060","wooden rice mortar"
"*ipit","acd-s_i1.htm#2941","near, come near; edge, border"
"*iRik","acd-s_i1.htm#2956","thresh with the feet (as rice)"
"*isa isa","acd-s_i1.htm#2969","distributive; one-by-one, one at a time"
"*isa₁","acd-s_i1.htm#2965","one"
"*isa-ŋa","acd-s_i1.htm#2968","the remaining one"
"*isi₅","acd-s_i1.htm#2985","flesh (of humans, animals, fruits, tubers); contents; blade of a knife; inhabitants, residents"
"*iSeq","acd-s_i1.htm#2978","urine, urinate"
"*iSiq","acd-s_i1.htm#2980","urine, urinate"
"*iSu","acd-s_i1.htm#2999","2sg. personal pronoun: you"
"*ita₁","acd-s_i1.htm#3004","we (incl.)"
"*iten","acd-s_i1.htm#3008","1p plural absolute possessive pronoun: ours (incl.)"
"*iten₃","acd-s_i1.htm#7699","we (incl.)"
"*i-ti","acd-s_t.htm#5635","1p deixis and spatial reference: this; here"
"*iuk","acd-f_i1.htm#7372","citrus fruit (both orange and pomelo?)"
"*ka- -an₁","acd-s_k.htm#9736","marker of the adversative passive"
"*ka- -an₂","acd-s_k.htm#9737","formative for nouns of location"
"*ka- -an₃","acd-s_k.htm#9738","formative for abstract nouns (often deverbal)"
"*ka-₁","acd-s_k.htm#3145","marker of past time in temporal expressions"
"*ka₁","acd-s_k.htm#3146","conjunctive particle, and"
"*ka₂","acd-s_k.htm#3147","conditional, if"
"*ka-₂","acd-s_k.htm#9727","stative marker in irrealis constructions, counterpart to   in realis constructions"
"*ka₃","acd-s_k.htm#8800","oblique case marker for plural personal names"
"*ka-₅","acd-s_k.htm#9730","formative for abstract nouns of quality"
"*ka-aCay","acd-s_a1.htm#35","kill (?)"
"*ka-aCay-an","acd-s_a1.htm#36","lose someone through death (?)"
"*ka-bajaq","acd-s_b.htm#6441","know, understand"
"*kabal₁","acd-s_k.htm#9746","clothing"
"*kabaR","acd-f_k.htm#9748","clothing"
"*kabit₁","acd-s_k.htm#7239","hook"
"*kabus₂","acd-f_k.htm#9756","shrimp, lobster"
"*ka-CaSaw-an","acd-s_c2.htm#2013","(gloss uncertain)"
"*ka-Cau-an","acd-s_c2.htm#2016","(gloss uncertain)"
"*kaCu","acd-s_k.htm#3067","bring, carry"
"*ka-dataR-an","acd-s_d.htm#7566","plain, region of level land"
"*kaen","acd-s_k.htm#8008","eat"
"*kaen-an","acd-s_k.htm#8030","place where one eats; food"
"*kaen-ay","acd-s_k.htm#8032","will eat"
"*kaen-en","acd-s_k.htm#8033","be eaten by someone; cooked rice"
"*kaen-i","acd-s_k.htm#8036","eat it!"
"*kahuS","acd-f_k.htm#6571","scoop up"
"*kahut","acd-s_k.htm#12794","to take in one’s hand; handful"
"*kaija","acd-s_k.htm#9787","when? (in the past)"
"*kak","acd-s_k.htm#3073","sound of a cackle, loud laugh, etc."
"*kaka₂","acd-s_k.htm#9742","elder sibling"
"*kakaCu","acd-f_k.htm#6570","spider"
"*ka-kaen-an","acd-s_k.htm#8023","place where one eats"
"*ka-kaen-en","acd-s_k.htm#8024","edible things, food"
"*kakak","acd-s_k.htm#8921","caw, cackle"
"*ka-kalih","acd-s_k.htm#7705","digging stick"
"*kaŋkaŋ₂","acd-s_k.htm#9079","resounding sound"
"*k-aku","acd-s_a1.htm#92","1sg oblique: to me, for me"
"*ka-kuRi","acd-f_k.htm#6581","a rake"
"*kalaw₁","acd-s_k.htm#3080","bird sp."
"*kalaw₂","acd-s_k.htm#12777","eyebrow"
"*kali-","acd-s_k.htm#10073","prefix for words with a sensitive reference to the spirit world (cf. )"
"*kali₁","acd-s_k.htm#3084","canal, ditch"
"*kalih","acd-s_k.htm#7702","a hole in the ground; to dig up, excavate, as tubers"
"*kaluŋkuŋ","acd-f_k.htm#10101","deep resounding sound"
"*kamay","acd-s_k.htm#3090","hand"
"*kamaya","acd-s_k.htm#3089","plant sp.:"
"*k-ami","acd-s_a1.htm#9705","1pl. excl. nominative pronoun, we (exclusive)"
"*k-amu","acd-s_a1.htm#9709","2pl. nominative, you all"
"*kamu-yu","acd-s_a1.htm#9712","2pl. nominative, you all"
"*ka-nu₁","acd-s_n1.htm#3701","interrogative; probably 'when?'"
"*kaNasay","acd-s_k.htm#3101","a fish: the mullet"
"*kaNawaS","acd-s_k.htm#12683","a small tree bearing round, green fruit:  spp."
"*k<aN>uSkuS","acd-s_k.htm#7274","claw, talon, fingernail"
"*ka-pajay-an","acd-s_p.htm#7676","(gloss uncertain)"
"*ka-piliq-an","acd-s_p.htm#8123","(gloss uncertain)"
"*kapit","acd-s_k.htm#8920","fasten together by sewing or tying"
"*ka-pitu-an","acd-s_p.htm#8325","seventh month (?)"
"*kapkap","acd-s_k.htm#3111","feel in the dark, grope"
"*kapua","acd-f_k.htm#7306","silk cotton, kapok"
"*ka-qudip-an","acd-s_q.htm#4639","livelihood"
"*karkar","acd-s_k.htm#3120","scratch up the earth, as a fowl"
"*karus","acd-s_k.htm#9829","to scratch, scrape"
"*k<ar>uSkuS","acd-s_k.htm#3302","scrape, scratch something from a surface"
"*karut₁","acd-s_k.htm#3124","scrape, rasp"
"*ka-Rabi-an","acd-s_r2.htm#7376","(gloss uncertain)"
"*kaRaC","acd-s_k.htm#7712","to bite"
"*kaRaC-i","acd-s_k.htm#7716","bite (imperative)"
"*kaRaw₁","acd-s_k.htm#7723","to scratch an itch"
"*kaRi₁","acd-s_k.htm#9794","word, speech, language"
"*kaRus","acd-s_k.htm#3123","scrape"
"*kaS(e)pal","acd-s_k.htm#3130","thick, of solid objects"
"*kaSi-kaSiw","acd-s_k.htm#7808","wooded, having lots of trees"
"*kaSiw","acd-s_k.htm#7794","wood; tree"
"*kaSiw-en","acd-s_k.htm#7806","(gloss uncertain)"
"*kaSkaS","acd-s_k.htm#6614","scratch up the soil, as a chicken looking for food"
"*kaSu","acd-s_k.htm#9764","2sg., you"
"*ka-tanem-an","acd-s_c2.htm#7447","area that is planted(?)"
"*katawa","acd-s_k.htm#10249","castor bean:  L."
"*ka-telu","acd-s_t.htm#8420","(gloss uncertain)"
"*kati₁","acd-s_k.htm#7731","exhortation to call a person or animal"
"*katkat₂","acd-s_k.htm#9799","come undone, of stitches"
"*kauS","acd-s_k.htm#11654","scoop up, as with a fish net"
"*ka-wanaN","acd-s_w.htm#9475","right (side, hand, direction)"
"*kawaS₁","acd-f_k.htm#6573","year, season; sky, heaven"
"*kawaS₂","acd-f_k.htm#7255","talk, talk about, discuss"
"*kaway₃","acd-f_k.htm#7118","net bag used by men for carrying things on back"
"*kawayan","acd-s_k.htm#9776","bamboo,  spp., probably"
"*kawil₁","acd-s_k.htm#7240","fishhook"
"*ka-wiRi","acd-s_w.htm#5999","left side or direction"
"*kawit","acd-s_k.htm#7243","hook"
"*kawkaw₁","acd-f_k.htm#7119","sickle for harvesting grain"
"*ka-zalan-an","acd-s_z.htm#7593","improvised trail, trail made by passing through?"
"*kebkeb₂","acd-s_k.htm#12873","to lie prone, face down"
"*kedi","acd-s_k.htm#3158","small in size or amount"
"*kedip","acd-s_k.htm#3156","to blink"
"*keŋkeŋ₁","acd-s_k.htm#3203","hollow, resounding sound"
"*kelem","acd-s_k.htm#8717","dark, overcast, visually obscure"
"*kelip","acd-s_k.htm#3167","to blink"
"*kemkem₂","acd-s_k.htm#10079","bite down hard"
"*keNa","acd-s_k.htm#3173","be ensnared, caught in a trap; suffer, undergo, be struck by something; be entrapped or deceived; hit the mark, be ‘on target’, correct, right, true"
"*kepit","acd-s_k.htm#9180","press together; pressed together"
"*keret","acd-s_k.htm#10116","to sever, cut off"
"*keriq","acd-s_k.htm#3184","chattering, crying of monkeys"
"*keRan₁","acd-s_k.htm#8883","scab on a wound"
"*keRaŋ₂","acd-s_k.htm#3182","scab, crust on a wound"
"*keRaŋ₃","acd-s_k.htm#8884","dry"
"*keRet","acd-s_k.htm#7120","cut something slender or soft; reap crops"
"*keRet-en","acd-s_k.htm#7122","be cut"
"*keRiw","acd-f_k.htm#6574","hemp plant; hemp"
"*keRkeR","acd-s_k.htm#3186","shake, tremble"
"*keRuŋ","acd-s_k.htm#3190","resounding sound"
"*keseR","acd-s_k.htm#11019","strength, vigor, force"
"*keskes₁","acd-s_k.htm#3192","scratch, scrape"
"*ketil","acd-s_k.htm#3196","pinch off"
"*ketun","acd-f_k.htm#6639","cut, sever"
"*kezem","acd-s_k.htm#3199","close the eyes"
"*kezuC","acd-s_k.htm#9977","to jerk suddenly, jump when startled"
"*ki-","acd-s_k.htm#8785","prefixed to a noun means ‘to get, obtain, collect, gather’ (noun)"
"*ki₂","acd-s_k.htm#8787","oblique case marker for personal nouns"
"*kiaw","acd-s_k.htm#3214","puling sound of a bird"
"*kiCiŋ","acd-s_k.htm#3215","body part"
"*ki-CuNuh","acd-s_c2.htm#2131","(gloss uncertain)"
"*kidiq","acd-s_k.htm#3217","to tickle"
"*kiŋkiŋ₁","acd-s_k.htm#3248","ringing sound"
"*kikuR","acd-s_k.htm#8891","tail"
"*kilala","acd-s_k.htm#8773","to know (a person), recognize, be acquainted with; to feel, perceive"
"*kiluŋ","acd-s_k.htm#3229","curved; bay"
"*k<in>a-Cau-an","acd-s_c2.htm#2018","nature, character"
"*k<in>aCu","acd-s_k.htm#6605","was brought; what was brought"
"*k<in>aen","acd-s_k.htm#8025","was eaten; what was eaten"
"*k<in>aen-an","acd-s_k.htm#8031","what was eaten; food"
"*k<in>alih-an","acd-s_k.htm#7709","place that has been dug up"
"*k<in>aRaC-an","acd-s_k.htm#7722","the bite of an animal"
"*k<in>uja","acd-s_k.htm#7469","what has been said/done (to cause someone to react)?"
"*kiŋeR","acd-s_k.htm#10059","to hear"
"*kipit","acd-s_k.htm#9932","narrow; pinch between tongs, etc."
"*kiRim","acd-f_k.htm#6575","seek, search, look for"
"*kiRim-en","acd-f_k.htm#6578","be looked for"
"*kiRkiR","acd-s_k.htm#6705","rasp, file"
"*kiRus","acd-s_k.htm#3239","scrape"
"*kiskis","acd-s_k.htm#9836","to shave, scrape off"
"*kiSkiS","acd-s_k.htm#3240","scrape off"
"*kita","acd-s_.htm#7701","we (incl.)"
"*k-ita","acd-s_i1.htm#11768","we (incl.)"
"*kita₂","acd-s_k.htm#8527","to see"
"*kita-en","acd-s_k.htm#8533","be seen by someone (?)"
"*ki-tunuh","acd-s_c2.htm#2132","(gloss uncertain)"
"*kiwkiw","acd-s_k.htm#9802","to wave, wag (tail); to stir (people) up"
"*-ku","acd-s_k.htm#8769","1sg genitive (marker of non-subject agency and possession; my; by me)"
"*ku","acd-s_k.htm#8801","oblique of common nouns (cf. *ki, *ka)"
"*kuan₁","acd-s_k.htm#3257","hamlet; kin-based residential unit"
"*kuaw","acd-s_k.htm#3258","kind of bird and the sound of its call"
"*kuCkuC","acd-f_k.htm#7295","roll up, curl up tightly"
"*kuCux","acd-s_k.htm#7640","head louse"
"*kudem","acd-s_k.htm#3259","darkened by clouds, overcast"
"*kuden","acd-s_k.htm#6510","clay cooking pot"
"*kudeŋ","acd-s_k.htm#9249","clay cooking pot"
"*kudis","acd-s_k.htm#3260","scurfy skin disease; scabies"
"*kudkud","acd-s_k.htm#3262","hoof, lower leg of an ungulate"
"*kuja","acd-s_k.htm#7467","how?, how is it?  what is the matter?"
"*kukuŋ₁","acd-s_k.htm#9183","small bird that produces a deep resounding call"
"*kuŋkuŋ₁","acd-s_k.htm#9184","deep resounding sound; slit-gong, hollowed tree trunk used to send messages"
"*kulaC","acd-s_k.htm#8465","bracket fungus,  spp."
"*kulay₁","acd-f_k.htm#6641","worm, insect"
"*kuliC","acd-s_k.htm#7213","rind, peeling of fruits or tubers"
"*k<um>aCu","acd-s_k.htm#6606","to bring, to carry along"
"*k<um>aen","acd-s_k.htm#8027","to eat"
"*k<um>ahuS","acd-f_k.htm#6572","scoop up"
"*k<um>ali","acd-s_k.htm#7708","to dig up, excavate, as tubers"
"*k<um>aRaC","acd-s_k.htm#7720","to bite"
"*k<um>aRaw","acd-s_k.htm#7724","to scratch an itch"
"*k<um>aSiw","acd-s_k.htm#7802","(gloss uncertain)"
"*k<um>auS","acd-s_k.htm#11655","to scoop up, as with a fish net"
"*k<um>eRet","acd-s_k.htm#7121","cut something slender"
"*kumeS","acd-f_k.htm#9845","pubic hair"
"*k<um>etun","acd-f_k.htm#8245","chop up, as firewood"
"*k<um>iRim","acd-f_k.htm#6577","to seek, search, look for"
"*kumiS","acd-f_k.htm#8002","pubic hair"
"*k<um>ita","acd-s_k.htm#8532","to see"
"*k<um>uCu","acd-s_k.htm#7649","to delouse"
"*k<um>uja","acd-s_k.htm#7470","(gloss uncertain)"
"*k<um>uRi","acd-f_k.htm#6582","to rake"
"*k<um>uSkuS","acd-s_k.htm#7268","to scrape"
"*kuNkuN","acd-f_k.htm#6579","Formosan hill partridge"
"*ku(ŋ)kuŋ","acd-s_k.htm#3322","deep resonant sound; name of a bird with deep resonant cry"
"*kupit","acd-s_k.htm#3280","press together, close tightly"
"*kurap","acd-s_k.htm#9778","ringworm"
"*kuris₁","acd-s_k.htm#3290","scurfy skin disease; scabies"
"*kurkur","acd-s_k.htm#10020","dig in the soil"
"*kuRi","acd-f_k.htm#6580","rake"
"*kuSa","acd-s_k.htm#3299","work"
"*kuSkuS₁","acd-s_k.htm#7272","claw, talon, fingernail"
"*kuSkuS₂","acd-s_k.htm#3301","scrape"
"*kuti","acd-f_k.htm#7453","vulva, vagina"
"*kutkut₂","acd-s_k.htm#9850","scrape off"
"*kuya₁","acd-f_k.htm#6642","bad, defective"
"*labaw₁","acd-s_l.htm#8172","rat"
"*labeR₂","acd-s_l.htm#11771","roam freely, of domesticated animals that are untethered"
"*labiq","acd-s_l.htm#8759","excess, surplus"
"*laCeŋ","acd-s_l.htm#7166","stinging nettle:  spp."
"*lahud","acd-s_l.htm#7039","downstream, toward the sea"
"*lahuN","acd-f_l.htm#8156","steam, vapor"
"*lajam","acd-s_l.htm#7492","familiar with, accustomed to"
"*lakat₂","acd-s_l.htm#11755","walk, take a step"
"*lakup","acd-s_l.htm#7872","cover, wrapping"
"*lalay","acd-s_l.htm#11727","cicada"
"*la-lima","acd-s_l.htm#7390","five (in counting people)"
"*lama₂","acd-s_l.htm#3343","old, former"
"*lamlam₁","acd-s_l.htm#3347","impetuous"
"*laŋaw","acd-s_l.htm#7573","housefly"
"*laŋaw-en","acd-s_l.htm#7576","infested with flies, covered with flies"
"*laŋ(e)si","acd-s_l.htm#3395","unpleasant odor"
"*laŋiC","acd-s_l.htm#7528","sky"
"*laŋu","acd-s_l.htm#3393","vertigo"
"*lapaq","acd-s_l.htm#11425","to cut up, butcher, slaughter an animal"
"*lapis","acd-f_l.htm#6643","flying squirrel"
"*laplap","acd-s_l.htm#3356","loose (as of clothing)"
"*lapus","acd-s_l.htm#12739","untie (a knot), undress, remove clothes"
"*laRaŋ","acd-s_l.htm#3360","to forbid"
"*laRiw","acd-s_l.htm#3361","run, run away, flee, escape"
"*lasuq₁","acd-s_l.htm#11527","hot; blistered by heat"
"*la(n)tuk","acd-s_l.htm#3390","curved, bowed"
"*lawa₁","acd-s_l.htm#3373","wide"
"*lawaq₂","acd-s_l.htm#8177","spider; spiderweb"
"*lawaR","acd-f_l.htm#6583","flying squirrel"
"*lawas₁","acd-s_l.htm#3371","wide, broad"
"*lawas₃","acd-s_l.htm#11643","internode of bamboo; section of something"
"*laway","acd-s_l.htm#11785","thread, yarn"
"*layap","acd-s_l.htm#3378","to fly"
"*layaR","acd-s_l.htm#7409","sail"
"*layu","acd-s_l.htm#7111","wither, wilt"
"*lebeŋ₁","acd-s_l.htm#7171","to bury"
"*lebleb₁","acd-f_l.htm#7256","foggy, misty, overcast, gloomy, of weather preceding rain"
"*lecik","acd-s_l.htm#3404","fly off, of solid bits or water droplets"
"*ledep","acd-s_l.htm#11645","to dive, swim under water"
"*ledled","acd-s_l.htm#11647","to rub the eyes"
"*lekab","acd-s_l.htm#3452","open, uncover"
"*lekuq₁","acd-s_l.htm#10897","bend; bending part, joint"
"*lemek₁","acd-s_l.htm#3412","soft"
"*lemlem","acd-s_l.htm#3418","dark, of weather; overcast"
"*lepaw₁","acd-s_l.htm#3423","hut"
"*lezep","acd-s_l.htm#3438","submerge, disappear under water"
"*lidam","acd-s_l.htm#11663","tongue"
"*liduŋ","acd-s_l.htm#9153","shelter, cover, protection; shade"
"*likaC","acd-s_l.htm#7276","lightning"
"*likaw","acd-s_l.htm#7531","curve, bend, winding"
"*likeS","acd-f_l.htm#6584","mosquito"
"*likud","acd-s_l.htm#7535","back"
"*likud-an","acd-s_l.htm#7539","back area, place at the back?"
"*liku-likud","acd-s_l.htm#7540","(gloss uncertain)"
"*liku-likud-an","acd-s_l.htm#7541","(gloss uncertain)"
"*lima","acd-s_l.htm#7384","five"
"*linuR","acd-s_l.htm#3472","earthquake"
"*liNuŋ","acd-s_l.htm#3475","calm, tranquil, of the surface of water"
"*liŋaw₁","acd-s_l.htm#3486","shadow"
"*lipas","acd-s_l.htm#11541","to pass, pass by"
"*lipen","acd-s_l.htm#7105","tooth"
"*lipet","acd-s_l.htm#9031","to fold, fold over"
"*lipuC","acd-s_l.htm#11546","disappear behind something that envelops or blocks the view"
"*liqeR","acd-s_l.htm#7356","neck"
"*liseqeS","acd-s_l.htm#7817","nit, egg of a hair louse"
"*litlit","acd-s_l.htm#11460","wind around, bind by winding around"
"*liuS","acd-s_l.htm#3481","circumambulate, circumvent"
"*lubaŋ₁","acd-s_l.htm#7311","burial pit"
"*lubuk₃","acd-s_l.htm#12818","bag, sack"
"*luCuŋ","acd-s_l.htm#6845","the Formosan rock monkey:"
"*ludaq","acd-s_l.htm#11788","saliva"
"*luem","acd-s_l.htm#3531","ripe"
"*lukeNaw","acd-f_l.htm#6585","Formosan clouded leopard"
"*lukuC","acd-s_l.htm#3518","parasitic plant sp."
"*luluj","acd-s_l.htm#7542","shin"
"*luluN","acd-s_l.htm#7543","to roll up, as a mat"
"*l<um>edep","acd-s_l.htm#11646","to dive, swim under water"
"*l<um>ubaŋ","acd-s_l.htm#7314","to bury, place in a pit or hole"
"*l<um>udaq","acd-s_l.htm#11782","to spit"
"*luNuŋ","acd-s_l.htm#11953","cloud"
"*lupas₁","acd-f_l.htm#7229","peach"
"*lupaS","acd-s_l.htm#3533","spit, spit out"
"*luSeq","acd-s_l.htm#7667","tears"
"*lutay","acd-s_l.htm#11589","weak, exhausted"
"*lutuk₁","acd-f_l.htm#6586","the Formosan hare: Lepus sinensis formosus"
"*ma-₁","acd-s_m.htm#8752","stative prefix"
"*ma-₂","acd-s_m.htm#8753","future prefix"
"*ma-aCay","acd-s_a1.htm#37","die; dead; eclipse of sun or moon"
"*ma-ala","acd-s_a1.htm#7786","be fetched, be taken"
"*ma-alap","acd-s_a1.htm#99","be taken"
"*ma-anak","acd-s_a1.htm#192","(gloss uncertain)"
"*ma-bajaq","acd-s_b.htm#6442","know, understand"
"*ma-bali₁","acd-f_b.htm#6556","windy"
"*ma-bañaw","acd-s_b.htm#757","wash the body"
"*ma-baSaw","acd-s_b.htm#7068","cooled off, as cooked food that has been left to sit too long"
"*ma-belaq","acd-s_b.htm#882","be split, in two"
"*ma-besuR","acd-s_b.htm#1016","satiated, full from eating"
"*ma-b<in>ahi","acd-s_b.htm#11824","female, woman"
"*ma-buCa","acd-s_b.htm#1389","blind"
"*ma-bunuR","acd-f_b.htm#7294","to swell; swollen"
"*ma-buRaw","acd-s_b.htm#1741","driven away, chased off"
"*ma-buSuk","acd-s_b.htm#1788","drunk, intoxicated"
"*maCa","acd-s_m.htm#8601","eye, focal point, center or most prominent part"
"*ma-Cakaw","acd-s_c2.htm#1940","to steal"
"*ma-Caŋis","acd-s_c2.htm#2041","tearful, crying easily"
"*ma-Caqu","acd-s_c2.htm#7841","to be capable, able, knowledgeable"
"*ma-Cawa","acd-s_c2.htm#2028","to laugh"
"*ma-CuNuh","acd-s_c2.htm#2133","roasted"
"*ma-dajam","acd-s_d.htm#2182","accustomed to, tame"
"*ma-dajem","acd-s_d.htm#2184","chills, as of malaria"
"*ma-dalem","acd-s_d.htm#7092","deep"
"*ma-dalis","acd-s_d.htm#2192","smooth, slippery"
"*ma-daRaq","acd-s_d.htm#7207","bloody, bleeding; to menstruate"
"*ma-demdem","acd-s_d.htm#7569","dark, overcast, gloomy"
"*ma-hemis","acd-s_h.htm#2648","sweet"
"*ma-kaen","acd-s_k.htm#8010","will eat (?)"
"*maka-enem","acd-s_e1.htm#2366","six times (frequentative multiplicative)"
"*maka-lima","acd-s_l.htm#7391","five times"
"*maka-pija","acd-s_p.htm#8052","(for) how many days?"
"*maka-pitu","acd-s_p.htm#8314","(gloss uncertain)"
"*ma-kaRaC","acd-s_k.htm#7718","to be bitten"
"*maka-Sepat","acd-s_s2.htm#5170","four times"
"*maka-walu","acd-s_w.htm#5947","eight times (frequentative, multiplicative)"
"*ma-keseR","acd-s_k.htm#11020","strong, vigorous, energetic, forceful"
"*ma-kiRim","acd-f_k.htm#6576","found?"
"*ma-kuCu","acd-s_k.htm#7642","(gloss uncertain)"
"*ma-kuja","acd-s_k.htm#7471","what are you doing?  what’s happening?"
"*ma-kuliC","acd-s_k.htm#9145","skinny, thin, underweight"
"*ma-laŋu","acd-s_l.htm#3394","dizzy, drunk"
"*ma-laRiw","acd-s_l.htm#3362","run, run away, flee"
"*ma-lebleb","acd-f_l.htm#7265","foggy, misty, overcast, gloomy, of weather preceding rain"
"*ma-lima-N","acd-s_l.htm#7401","fifty"
"*maliqi","acd-s_m.htm#3563","pregnant"
"*ma-litlit","acd-s_l.htm#11461","be or become wound around something"
"*mamah","acd-s_m.htm#8745","father’s brother"
"*ma-najam","acd-s_n1.htm#3642","accustomed to, familiar with; tame"
"*manu","acd-s_m.htm#3571","interrogative marker: which?"
"*manuk","acd-s_m.htm#6948","chicken"
"*maNaŋ","acd-f_m.htm#7296","sharp"
"*ma-Nipis","acd-s_n2.htm#8673","thin (of materials)"
"*ma-Niwaŋ","acd-s_n2.htm#7051","thin, of persons and animals"
"*ma-Nuka","acd-s_n2.htm#3708","wounded"
"*ma-ŋilu","acd-s_n4.htm#7505","painful, as of teeth on edge from eating something very sour"
"*ma-paqiC","acd-s_p.htm#6874","bitter"
"*ma-piliq","acd-s_p.htm#8116","(gloss uncertain)"
"*ma-piNay","acd-s_p.htm#10863","lame, crippled"
"*ma-pizpiz","acd-s_p.htm#7415","closely spaced, set close together"
"*ma-pukaw","acd-f_p.htm#7525","dim, of vision"
"*ma-puNi","acd-f_p.htm#6685","white"
"*ma-puSaN","acd-f_p.htm#6647","twenty"
"*ma-qaCi","acd-s_q.htm#4144","ebb, of water in streams; low tide"
"*ma-qajaw","acd-s_q.htm#4150","sunny, hot"
"*ma-qataq","acd-s_q.htm#4341","raw, unripe"
"*maqaw","acd-f_m.htm#6587","a plant:  (Lour.)"
"*ma-qetaq","acd-s_q.htm#4488","raw, unripe, green (fruit), uncooked"
"*ma-qudem","acd-s_q.htm#12890","dark, cloudy"
"*ma-quSaw","acd-s_q.htm#4750","thirsty"
"*ma-quzaN","acd-s_q.htm#4783","rainy"
"*maR-amax","acd-s_a1.htm#136","to be father and child"
"*maR-buaq","acd-s_b.htm#1336","bear fruit"
"*maRe-anak","acd-s_a1.htm#199","parent and child"
"*maR-ina","acd-s_i1.htm#2898","to be mother and child"
"*maR-luSeq","acd-s_l.htm#7669","to shed tears, weep"
"*maR-qani","acd-s_q.htm#4227","harvest; to harvest"
"*maS","acd-s_m.htm#3572","and"
"*ma-Sasak","acd-s_s2.htm#5066","ripe; cooked"
"*ma-SateD","acd-s_s2.htm#5079","escort, accompany"
"*ma-Sepat","acd-s_s2.htm#5168","(gloss uncertain)"
"*ma-SeReC","acd-s_s2.htm#8210","tight, firm"
"*ma-Seyaq","acd-s_s2.htm#5205","shy, embarrassed; ashamed"
"*ma-Sikad","acd-f_s2.htm#7263","ashamed; shy; modest"
"*ma-Suab","acd-s_s2.htm#5361","to yawn, yawning"
"*ma-Suaw","acd-f_s2.htm#6695","to yawn"
"*ma-Sulem","acd-s_s2.htm#5392","dim, dark"
"*mata nu qalejaw","acd-s_m.htm#8628","sun (‘eye of the day’)"
"*ma-takut","acd-s_t.htm#7427","fearful, afraid"
"*ma-talaw","acd-s_t.htm#7421","fearful, cowardly"
"*ma-taŋa","acd-s_t.htm#6711","will open?"
"*-matek","acd-s_m.htm#6861","jungle leech,  spp."
"*ma-telu","acd-s_t.htm#8424","(gloss uncertain)"
"*ma-tuduR","acd-s_t.htm#8360","to sleep"
"*ma-tunuh","acd-s_c2.htm#2134","roasted"
"*ma-tuqaS","acd-s_t.htm#11752","old, of people"
"*ma-tuqaS tuqaS","acd-s_t.htm#8514","old, elder, senior"
"*ma-ulaw","acd-s_u1.htm#5765","dazed, confused"
"*-meCaq","acd-s_m.htm#10103","paddy leech"
"*-medaw","acd-s_m.htm#11715","dizzy, giddy"
"*mesmes","acd-s_m.htm#3584","grasp, grip, squeeze"
"*metmet","acd-s_m.htm#12729","to hold tightly"
"*mi-","acd-s_m.htm#10846","prefix marking possession of some object"
"*mi-da-duSa","acd-s_d.htm#7892","do something with someone else, perform an action together"
"*m<in>aCa","acd-s_m.htm#8606","open-eyed (?)"
"*m<in>aCay","acd-s_a1.htm#64","burial ground (?)"
"*mu-","acd-s_m.htm#8789","movement prefix"
"*mudaq","acd-s_m.htm#12796","young (of fruits); immature"
"*mujiŋ","acd-s_m.htm#7282","face (human)"
"*mujiŋ-an","acd-s_m.htm#7283","(gloss uncertain)"
"*mula","acd-s_m.htm#3630","to plant"
"*mulmul","acd-s_m.htm#3631","hold in the mouth and suck"
"*mumu","acd-f_m.htm#7187","Formosan blind mole:  (Swinhoe)"
"*muRmuR","acd-s_m.htm#3635","gargle, rinse the mouth"
"*-na","acd-s_n1.htm#3655","distal spatio-temporal deixis: that, there; then"
"*na₂","acd-s_n1.htm#3654","linker marking emphatic attribution"
"*na₃","acd-s_n1.htm#8693","genitive of plural personal names"
"*najam","acd-s_n1.htm#3641","accustomed to, familiar with; tame"
"*n-ami","acd-s_a1.htm#9707","1pl. excl. genitive, our"
"*n-amu","acd-s_a1.htm#9711","2pl. genitive, your, by you"
"*na-nu","acd-s_n1.htm#3703","what(?)"
"*naNaq","acd-s_n1.htm#7221","pus"
"*naRa","acd-s_n1.htm#72","to wait"
"*nasuk","acd-s_n1.htm#3650","cook by boiling"
"*nay","acd-f_n1.htm#6644","deictic particle: this"
"*nema","acd-f_n1.htm#7324","what thing?"
"*nemnem","acd-s_n1.htm#3662","think"
"*-ni","acd-s_n1.htm#3677","proximal spatio-temporal deixis: this, here; now"
"*ni","acd-s_n1.htm#8781","genitive case marker for singular personal names and pronouns; marker of possession, part-to-whole relationships, and agency of a non-actor voice verb"
"*ni-a","acd-s_a1.htm#385","3sg. agent/possessor"
"*ni-ia","acd-s_i1.htm#12619","3sg. genitive, his, her"
"*ni-ima","acd-s_i1.htm#8840","whose?"
